Quantity,Designator,Comment,Footprint,Description
,,,,
1,C1,1nF X/Y 2kV,1808_[4520],Ceramic 250Vad X7R X1/Y1 (GA342DR7GF102KW)
1,C2,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C3,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C4,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C5,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C6,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C7,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C8,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C9,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C10,100nF,0805_[2012],Ceramic 100V X7R
1,C11,100nF,0805_[2012],Ceramic 100V X7R
1,C12,100nF,0805_[2012],Ceramic 100V X7R
1,C13,100nF,0805_[2012],Ceramic 100V X7R
1,C14,2.2uF,0603_[1608],Ceramic 16V X5R 10%
1,C15,1uF,0805_[2012],Ceramic 100V
1,C16,2.2uF,0603_[1608],Ceramic 16V X5R 10%
1,C17,100nF,0805_[2012],Ceramic 100V X7R
1,C18,4.7uF,1210_[3225],Ceramic 100V X5R (CGA6M3X7S2A475K200AB)
1,C19,4.7uF,1210_[3225],Ceramic 100V X5R (CGA6M3X7S2A475K200AB)
1,C20,4.7uF,1210_[3225],Ceramic 100V X5R (CGA6M3X7S2A475K200AB)
1,C21,100nF,0805_[2012],Ceramic 100V X7R
1,C22,1uF,0805_[2012],Ceramic 6.3V
1,C23,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C24,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C25,4.7nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C26,100nF,0805_[2012],Ceramic 100V X7R
1,C27,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C28,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C29,100uF,1210_[3225],Ceramic 6.3V X5R
1,C30,100nF,0805_[2012],Ceramic 100V X7R
1,C31,10nF,0603_[1608],Ceramic 10V X7R
1,C32,2.2uF,0603_[1608],Ceramic 16V X5R 10%
1,C33,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C34,1uF,0402_[1005]_Cap_small,Ceramic 6.3V X5R
1,C35,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C36,1uF,0402_[1005]_Cap_small,Ceramic 6.3V X5R
1,C37,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C38,22uF,0603_[1608],Ceramic 6.3V X5R
1,C39,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C40,1nF,0402_[1005]_Cap_small,Ceramic 6.3V X5R
1,C41,22uF,0603_[1608],Ceramic 6.3V X5R
1,C42,22uF,0603_[1608],Ceramic 6.3V X5R
1,C43,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C44,1nF,0402_[1005]_Cap_small,Ceramic 6.3V X5R
1,C45,1nF,0402_[1005]_Cap_small,Ceramic 6.3V X5R
1,C46,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C47,22uF,0603_[1608],Ceramic 6.3V X5R
1,C48,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C49,22uF,0603_[1608],Ceramic 6.3V X5R
1,C50,22uF,0603_[1608],Ceramic 6.3V X5R
1,C51,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C52,1uF,0402_[1005]_Cap_small,Ceramic 6.3V X5R
1,C53,NP,0402_[1005]_Cap_small,Ceramic 6.3V X5R
1,C54,470nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C55,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C56,1uF,0402_[1005]_Cap_small,Ceramic 6.3V X5R
1,C57,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C58,220nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C59,470nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C60,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C61,1uF,0402_[1005]_Cap_small,Ceramic 6.3V X5R
1,C62,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C63,470nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C64,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C65,1uF,0402_[1005]_Cap_small,Ceramic 6.3V X5R
1,C66,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C67,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C68,470nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C69,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C70,1uF,0402_[1005]_Cap_small,Ceramic 6.3V X5R
1,C71,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C72,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C73,22uF,0805_[2012],Ceramic 6.3V X5R
1,C74,22uF,0805_[2012],Ceramic 6.3V X5R
1,C75,22uF,0805_[2012],Ceramic 6.3V X5R
1,C76,22uF,0603_[1608],Ceramic 6.3V X5R
1,C77,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C78,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C79,22uF,0805_[2012],Ceramic 6.3V X5R
1,C80,22uF,0805_[2012],Ceramic 6.3V X5R
1,C81,47uF,1210_[3225],Ceramic 6.3V X5R
1,C82,NP,1210_[3225],Ceramic 6.3V
1,C83,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C84,22uF,0805_[2012],Ceramic 6.3V X5R
1,C85,22uF,0805_[2012],Ceramic 6.3V X5R
1,C86,47uF,1210_[3225],Ceramic 6.3V X5R
1,C87,NP,1210_[3225],Ceramic 6.3V
1,C88,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C89,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C90,22uF,0805_[2012],Ceramic 6.3V X5R
1,C91,22uF,0805_[2012],Ceramic 6.3V X5R
1,C92,22uF,0805_[2012],Ceramic 6.3V X5R
1,C93,22uF,0603_[1608],Ceramic 6.3V X5R
1,C94,4.7uF,0603_[1608],Ceramic 6.3V X5R
1,C95,100nF,0402_[1005]_Cap_small,Ceramic 16V X7R 10%
1,C96,4.7uF,0603_[1608],Ceramic 6.3V X5R
